ini_Kpp,ini_Kvp,sys_num
222.9083628,570.1573119,1
226.1590838,793.5036182,2
204.5527697,818.9799547,3
235.2863699,913.3039385,4
287.9281789,691.3503155,5
87.12332845,207.4958459,6
72.74688482,171.9771043,7
38.34411919,92.46564955,8
55.19459665,157.181339,9
142.0258671,323.2209563,10
130.9882462,872.8703708,11
115.2607292,874.2661119,12
104.998827,875.7308662,13
98.33414257,877.45592,14
89.97586071,879.2231828,15
85.69487929,880.9868604,16
80.28048277,882.7731222,17
76.02020502,884.462601,18
207.8993291,873.7957239,19
159.2766762,873.7276405,20
231.2981218,688.1719917,21
209.9734455,695.4798043,22
193.9789116,701.4689088,23
179.2112857,706.4009905,24
167.8581625,710.1466328,25
158.6805612,713.3383498,26
152.1171123,714.7255614,27
145.2229232,716.1651969,28
255.3422838,677.2162721,29
251.2081027,679.9708739,30
216.2429303,639.5566583,31
197.625339,646.8227357,32
180.8862746,653.2428622,33
167.9890394,657.8513756,34
159.2062116,661.052002,35
151.9620657,664.2997235,36
143.9466089,667.0596987,37
136.1709058,668.9789444,38
244.1637248,627.7269229,39
237.6027584,631.607838,40
130.1497191,335.082686,41
130.2796692,335.2190808,42
130.5474639,335.7333362,43
129.8922628,336.3822654,44
131.4224899,336.6189078,45
132.7368915,336.8827656,46
133.0134839,336.8673921,47
131.1605334,332.0661709,48
130.2957207,333.6537793,49
130.1897943,334.8217517,50
40.88880539,99.10982549,51
40.87459564,99.16809648,52
40.86441517,99.20699745,53
40.85844874,99.23486561,54
40.85573077,99.25559014,55
40.85420489,99.27183986,56
41.01345658,99.39375967,57
40.96782327,98.31842631,58
40.9221065,98.8289535,59
40.90866566,99.01354313,60
106.0316235,242.4708188,61
104.7839016,242.4615517,62
104.2266607,242.8988501,63
103.7817091,242.9474786,64
103.4447968,243.0085257,65
103.1168521,243.0384725,66
102.8715521,243.0780038,67
102.6754499,243.0926666,68
102.517271,243.1040257,69
107.4578911,244.1272438,70
